DATE	NUMARTS	COUNTTYPE	NUMBER	OBJECTTYPE	GEO_TYPE	GEO_FULLNAME	GEO_COUNTRYCODE	GEO_ADM1CODE	GEO_LAT	GEO_LONG	GEO_FEATUREID	CAMEOEVENTIDS	SOURCES	SOURCEURLS
20160308	4	WOUND	47	students	3	Lafayette College, Pennsylvania, United States	US	USPA	40.6982	-75.2074	1178750		wpxi.com;whig.com;newsworks.org;witf.org	http://www.wpxi.com/ap/ap/pennsylvania/college-says-47-have-sought-treatment-for-stomach-/nqgJ6/<UDIV>http://www.whig.com/article/20160308/AP/303089755<UDIV>http://www.newsworks.org/index.php/local/item/91700-eastern-pa-college-says-47-have-sought-treatment-for-stomach-ailment-<UDIV>http://www.witf.org/news/2016/03/lafayette-college-47-sought-treatment-for-stomach-ailment.php
20160308	1	CRISISLEX_T02_INJURED	2		4	Enugu, Enugu, Nigeria	NI	NI47	6.4402	7.4943	-2006530	519108176,519108177,519108178,519108180,519108224,519109101,519109112	naij.com	https://www.naij.com/757075-many-feared-dead-fulani-herdsmen-wreak-havoc-nigerian-communities.html
20160308	3	AFFECT	23000000	half	1	Syria	SY	SY	35	38	SY	518860386,518907855,518907907,518907908,518966220,518966222,518966223,518966224,518966220,518968295,518966222,518966223	globalsecurity.org;cameroon-concord.com;islamicinvitationturkey.com	http://www.globalsecurity.org/wmd/library/news/syria/2016/syria-160307-presstv04.htm<UDIV>http://cameroon-concord.com/daily-news/item/5220-syrian-planes-have-airdropped-humanitarian-aid-in-the-east-of-the-country<UDIV>http://www.islamicinvitationturkey.com/2016/03/08/syrian-planes-airdrop-aid-to-besieged-city-of-dayr-al-zawr/
20160308	1	CRISISLEX_CRISISLEXREC	9		1	Australia	AS	AS	-27	133	AS		themissionjc.com	http://www.themissionjc.com/2016/04/01/made-in-waves-4-skeevy-dudes-sky-burnt-white/
20160308	1	MOVEMENT_GENERAL	201	cPax asked us	1	India	IN	IN	20	77	IN	518852267,518930837,518930838,518931321,518855930	globalpost.com	http://www.globalpost.com/article/6743152/2016/03/07/india-unfair-and-lovely
20160308	2	AFFECT	8	relevant areas related	1	Malaysia	MY	MY	2.5	112.5	MY	519007311,519007311	bernama.com;theborneopost.com	http://www.bernama.com/bernama/v8/wn/newsworld.php?id=1223140<UDIV>http://www.theborneopost.com/2016/03/09/investigation-team-to-work-on-finalising-analysis-findings/
20160308	12	ARREST	7		1	India	IN	IN	20	77	IN		yahoo.com;yahoo.com;yahoo.com;yahoo.com;yahoo.com;yahoo.com;yahoo.com;yahoo.com;yahoo.com;yahoo.com;yahoo.com;yahoo.com	https://in.news.yahoo.com/naked-woman-dances-big-rigs-cab-closes-part-215356275.html<UDIV>https://in.news.yahoo.com/army-build-makeshift-bridge-yamuna-000000527.html<UDIV>https://in.news.yahoo.com/army-build-makeshift-bridge-yamuna-000000527.html<UDIV>https://in.news.yahoo.com/hong-kong-shanghai-stocks-rise-014354421.html<UDIV>https://in.news.yahoo.com/hong-kong-shanghai-stocks-rise-014354421.html<UDIV>https://in.news.yahoo.com/malaysia-hopeful-finding-missing-mh370-073804320.html<UDIV>https://in.news.yahoo.com/malaysia-hopeful-finding-missing-mh370-073804320.html<UDIV>https://in.news.yahoo.com/turkey-seizes-control-news-agency-close-cleric-gulen-074024452--finance.html<UDIV>https://in.news.yahoo.com/turkey-seizes-control-news-agency-close-cleric-gulen-074024452--finance.html<UDIV>https://in.news.yahoo.com/jaitley-announces-relief-epf-070555406.html<UDIV>https://in.news.yahoo.com/vw-ceo-says-scandal-inflict-substantial-financial-damage-093211402--finance.html<UDIV>https://in.news.yahoo.com/vw-ceo-says-scandal-inflict-substantial-financial-damage-093211402--finance.html
20160308	1	SOC_GENERALCRIME	3		3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	518858374,518858375,518859376,518859386,518859390,518859395,518861488	bostonherald.com	http://www.bostonherald.com/news/local_coverage/2016/03/3_arrested_after_student_protest_turns_violent
20160308	1	CRISISLEX_T03_DEAD	76	security personnel	4	Chhattisgarh, Chhattisgarh, India	IN	IN37	21.5	81.75	-2093188	518862034	oneindia.com	http://www.oneindia.com/india/ten-naxals-surrender-in-c-garh-2035489.html
20160308	1	AFFECT	13000000	fund	1	United States	US	US	38	-97	US	519158597	consumerist.com	https://consumerist.com/2016/03/08/home-depot-agrees-to-pay-20m-to-settle-2014-data-breach-lawsuit/
20160308	1	KIDNAP	3		3	Franklin County, North Carolina, United States	US	USNC	36.0668	-78.3331	1008553	518945640,518947152,518947176,518852925,518947243	reflector.com	http://www.reflector.com/Crime-and-Rescue/2016/03/08/Opening.html
20160308	2	REFUGEES	6000000000	euro	1	Turkey	TU	TU	39	35	TU	519002916,519002917,519003287,519003288,519003436,519003437,519003441,519003442,519004034,519004035,519004039,519004102,519004102	balkaninsight.com;menafn.com	http://www.balkaninsight.com/en/article/turkey-wants-money-visa-liberalization-in-exchange-for-deal-on-migrants-03-07-2016<UDIV>http://www.menafn.com/1094634018/EU-Turkey-Clinch-Deal-On-Refugee-Crisis
20160308	1	KILL	5	overdose	1	Turkey	TU	TU	39	35	TU		silive.com	http://www.silive.com/opinion/columns/index.ssf/2016/03/sobering_stats_from_da_mcmahon.html
20160308	1	AFFECT	40		4	Ballater, Aberdeenshire, United Kingdom	UK	UKT6	57.05	-3.05	-2589026		eveningexpress.co.uk	https://www.eveningexpress.co.uk/fp/news/local/north-east-caravans-set-for-demolition-after-river-dee-flooding/
